Veg,Soil,Eco,Group
WC9,ST10S,AC12,AC
WD1,ST10S,AC15,AC
WD2,ST10S,AC8,AC
WD3,ST10S,AC12,AC
WD4,ST10S,AC12,AC
WD5,ST10S,AC15,AC
WM1,ST10S,AC12,AC
WM2,ST10S,AC12,AC
WM3,ST10S,AC8,AC
WM3a,ST10S,AC8,AC
WM4,ST10S,AC12,AC
WM5,ST10S,AC15,AC
CA1,ST11,AC13,AC
FP1,ST11,AC16,AC
FP2,ST11,AC16,AC
FP3,ST11,AC16,AC
FP4,ST11,AC16,AC
FP5,ST11,AC16,AC
FP6,ST11,AC16,AC
FP7,ST11,AC16,AC
FP8,ST11,AC16,AC
FP9,ST11,AC16,AC
IH3,ST11,AC13,AC
IH4,ST11,AC13,AC
IH4a,ST11,AC13,AC
IH5,ST11,AC13,AC
IH6,ST11,AC13,AC
IH6a,ST11,AC13,AC
IH6b,ST11,AC13,AC
IH7,ST11,AC13,AC
IH9,ST11,AC13,AC
KA1,ST11,AC13,AC
KA2,ST11,AC13,AC
KA3,ST11,AC13,AC
KA4,ST11,AC13,AC
MW1,ST11,AC13,AC
MW2,ST11,AC13,AC
MW2a,ST11,AC13,AC
MW3,ST11,AC13,AC
MW4,ST11,AC13,AC
MW4a,ST11,AC13,AC
MW5,ST11,AC13,AC
MW6,ST11,AC13,AC
MW7,ST11,AC13,AC
MW8,ST11,AC13,AC
OF1,ST11,AC13,AC
OF3,ST11,AC13,AC
OF4,ST11,AC13,AC
OF5,ST11,AC13,AC
OF6,ST11,AC13,AC
OF7,ST11,AC13,AC
OF8,ST11,AC13,AC
OF9,ST11,AC13,AC
SH1,ST11,AC13,AC
SH2,ST11,AC13,AC
SH3,ST11,AC13,AC
SH5,ST11,AC13,AC
SH5a,ST11,AC13,AC
SH5b,ST11,AC13,AC
SH6,ST11,AC13,AC
SH7,ST11,AC13,AC
SH8,ST11,AC13,AC
TH1,ST11,AC13,AC
TH1a,ST11,AC13,AC
TH2,ST11,AC13,AC
TH2a,ST11,AC13,AC
TH3,ST11,AC13,AC
TH4,ST11,AC16,AC
TH5,ST11,AC13,AC
TH6,ST11,AC13,AC
TH7,ST11,AC13,AC
TH8,ST11,AC13,AC
TH8a,ST11,AC13,AC
TH9,ST11,AC13,AC
CA1,ST11S,AC13,AC
IH3,ST11S,AC13,AC
IH4,ST11S,AC13,AC
IH4a,ST11S,AC13,AC
IH5,ST11S,AC13,AC
IH6,ST11S,AC13,AC
IH6a,ST11S,AC13,AC
IH6b,ST11S,AC13,AC
IH7,ST11S,AC13,AC
IH9,ST11S,AC13,AC
KA1,ST11S,AC13,AC
KA2,ST11S,AC13,AC
KA3,ST11S,AC13,AC
KA4,ST11S,AC13,AC
MW1,ST11S,AC13,AC
MW2,ST11S,AC13,AC
MW2a,ST11S,AC13,AC
MW3,ST11S,AC13,AC
MW4,ST11S,AC13,AC
MW4a,ST11S,AC13,AC
MW5,ST11S,AC13,AC
MW6,ST11S,AC13,AC
MW7,ST11S,AC13,AC
MW8,ST11S,AC13,AC
SH1,ST11S,AC13,AC
SH2,ST11S,AC13,AC
SH3,ST11S,AC13,AC
SH5,ST11S,AC13,AC
SH5a,ST11S,AC13,AC
SH5b,ST11S,AC13,AC
SH6,ST11S,AC13,AC
SH7,ST11S,AC13,AC
SH8,ST11S,AC13,AC
TH1,ST11S,AC13,AC
TH1a,ST11S,AC13,AC
TH2,ST11S,AC13,AC
TH2a,ST11S,AC13,AC
TH3,ST11S,AC13,AC
TH5,ST11S,AC13,AC
TH6,ST11S,AC13,AC
TH7,ST11S,AC13,AC
TH8,ST11S,AC13,AC
TH8a,ST11S,AC13,AC
TH9,ST11S,AC13,AC
CA1,ST12,AC14,AC
FP1,ST12,AC17,AC
FP2,ST12,AC17,AC
FP3,ST12,AC17,AC
FP4,ST12,AC17,AC
FP5,ST12,AC17,AC
FP6,ST12,AC17,AC
FP7,ST12,AC17,AC
FP8,ST12,AC17,AC
FP9,ST12,AC17,AC
IH3,ST12,AC14,AC
IH4,ST12,AC14,AC
IH4a,ST12,AC14,AC
IH5,ST12,AC14,AC
IH6,ST12,AC14,AC
IH6a,ST12,AC14,AC
IH6b,ST12,AC14,AC
IH7,ST12,AC14,AC
IH9,ST12,AC14,AC
KA1,ST12,AC14,AC
KA2,ST12,AC14,AC
KA3,ST12,AC14,AC
KA4,ST12,AC14,AC
MW1,ST12,AC14,AC
MW13,ST12,AC14,AC
MW2,ST12,AC14,AC
MW2a,ST12,AC14,AC
MW3,ST12,AC14,AC
MW4,ST12,AC14,AC
MW4a,ST12,AC14,AC
MW5,ST12,AC14,AC
MW6,ST12,AC14,AC
MW7,ST12,AC14,AC
MW8,ST12,AC14,AC
OF1,ST12,AC14,AC
OF2,ST12,AC14,AC
OF3,ST12,AC14,AC
OF4,ST12,AC14,AC
OF5,ST12,AC14,AC
OF6,ST12,AC14,AC
OF7,ST12,AC14,AC
OF8,ST12,AC14,AC
OF9,ST12,AC14,AC
SH1,ST12,AC14,AC
SH2,ST12,AC14,AC
SH3,ST12,AC14,AC
SH5,ST12,AC14,AC
SH5a,ST12,AC14,AC
SH5b,ST12,AC14,AC
SH6,ST12,AC14,AC
SH7,ST12,AC14,AC
SH8,ST12,AC14,AC
TH1,ST12,AC14,AC
TH1a,ST12,AC14,AC
TH2,ST12,AC14,AC
TH2a,ST12,AC14,AC
TH3,ST12,AC14,AC
TH4,ST12,AC17,AC
TH6,ST12,AC14,AC
TH7,ST12,AC14,AC
TH8,ST12,AC14,AC
TH8a,ST12,AC14,AC
TH9,ST12,AC14,AC
CA1,ST12S,AC14,AC
IH3,ST12S,AC14,AC
IH4,ST12S,AC14,AC
IH4a,ST12S,AC14,AC
IH5,ST12S,AC14,AC
IH6,ST12S,AC14,AC
IH6a,ST12S,AC14,AC
IH6b,ST12S,AC14,AC
IH7,ST12S,AC14,AC
IH9,ST12S,AC14,AC
KA1,ST12S,AC14,AC
KA2,ST12S,AC14,AC
KA3,ST12S,AC14,AC
KA4,ST12S,AC14,AC
MW1,ST12S,AC14,AC
MW13,ST12S,AC14,AC
MW2,ST12S,AC14,AC
MW2a,ST12S,AC14,AC
MW3,ST12S,AC14,AC
MW4,ST12S,AC14,AC
MW4a,ST12S,AC14,AC
MW5,ST12S,AC14,AC
MW6,ST12S,AC14,AC
MW7,ST12S,AC14,AC
MW8,ST12S,AC14,AC
SH1,ST12S,AC14,AC
SH2,ST12S,AC14,AC
SH3,ST12S,AC14,AC
SH5,ST12S,AC14,AC
SH5a,ST12S,AC14,AC
SH5b,ST12S,AC14,AC
SH6,ST12S,AC14,AC
SH7,ST12S,AC14,AC
SH8,ST12S,AC14,AC
TH1,ST12S,AC14,AC
TH1a,ST12S,AC14,AC
TH2,ST12S,AC14,AC
TH2a,ST12S,AC14,AC
TH3,ST12S,AC14,AC
TH6,ST12S,AC14,AC
TH7,ST12S,AC14,AC
TH8,ST12S,AC14,AC
TH8a,ST12S,AC14,AC
TH9,ST12S,AC14,AC
OF2,ST13,AC14,AC
OF5,ST13,AC14,AC
OF6,ST13,AC14,AC
TH4,ST13,AC17,AC
WC10,ST13,AC12,AC
WC10a,ST13,AC12,AC
WC5,ST13,AC12,AC
WC6,ST13,AC8,AC
WC7,ST13,AC8,AC
WC7a,ST13,AC8,AC
WC8,ST13,AC12,AC
WC9,ST13,AC12,AC
WD1,ST13,AC15,AC
WD2,ST13,AC8,AC
WD3,ST13,AC12,AC
WD4,ST13,AC12,AC
WD5,ST13,AC15,AC
WM1,ST13,AC12,AC
WM2,ST13,AC12,AC
WM4,ST13,AC12,AC
WM5,ST13,AC15,AC
WC10,ST13S,AC12,AC
WC10a,ST13S,AC12,AC
WC5,ST13S,AC12,AC
WC6,ST13S,AC8,AC
WC7,ST13S,AC8,AC
WC7a,ST13S,AC8,AC
WC8,ST13S,AC12,AC
WC9,ST13S,AC12,AC
WD1,ST13S,AC15,AC
WD2,ST13S,AC8,AC
WD3,ST13S,AC12,AC
WD4,ST13S,AC12,AC
WD5,ST13S,AC15,AC
WM1,ST13S,AC12,AC
WM2,ST13S,AC12,AC
WM4,ST13S,AC12,AC
WM5,ST13S,AC15,AC
WC1,ST14,AC4,AC
WC10,ST14,AC12,AC
WC10a,ST14,AC12,AC
WC11,ST14,AC4,AC
WC2,ST14,AC4,AC
WC2a,ST14,AC4,AC
WC3,ST14,AC4,AC
WC4,ST14,AC4,AC
WC5,ST14,AC8,AC
WC6,ST14,AC8,AC
WC7,ST14,AC8,AC
WC7a,ST14,AC8,AC
WC8,ST14,AC8,AC
WC9,ST14,AC8,AC
WD1,ST14,AC15,AC
WD2,ST14,AC8,AC
WD3,ST14,AC12,AC
WD4,ST14,AC12,AC
WM1,ST14,AC8,AC
WM2,ST14,AC12,AC
WM3,ST14,AC8,AC
WM3a,ST14,AC8,AC
WM4,ST14,AC12,AC
WM5,ST14,AC15,AC
WC1,ST14B,AC4,AC
WC10,ST14B,AC12,AC
WC10a,ST14B,AC12,AC
WC11,ST14B,AC4,AC
WC2,ST14B,AC4,AC
WC2a,ST14B,AC4,AC
WC3,ST14B,AC4,AC
WC4,ST14B,AC4,AC
WC5,ST14B,AC8,AC
WC6,ST14B,AC8,AC
WC7,ST14B,AC8,AC
WC7a,ST14B,AC8,AC
WC8,ST14B,AC8,AC
WC9,ST14B,AC8,AC
WD2,ST14B,AC8,AC
WD3,ST14B,AC12,AC
WD4,ST14B,AC12,AC
WM1,ST14B,AC8,AC
WM2,ST14B,AC12,AC
WM3,ST14B,AC8,AC
WM3a,ST14B,AC8,AC
WM4,ST14B,AC12,AC
WC1,ST14S,AC4,AC
WC10,ST14S,AC12,AC
WC10a,ST14S,AC12,AC
WC11,ST14S,AC4,AC
WC2,ST14S,AC4,AC
WC2a,ST14S,AC4,AC
WC3,ST14S,AC4,AC
WC4,ST14S,AC4,AC
WC5,ST14S,AC8,AC
WC6,ST14S,AC8,AC
WC7,ST14S,AC8,AC
WC7a,ST14S,AC8,AC
WC8,ST14S,AC8,AC
WC9,ST14S,AC8,AC
WD2,ST14S,AC8,AC
WD3,ST14S,AC12,AC
WD4,ST14S,AC12,AC
WM1,ST14S,AC8,AC
WM2,ST14S,AC12,AC
WM3,ST14S,AC8,AC
WM3a,ST14S,AC8,AC
WM4,ST14S,AC12,AC
WM5,ST14S,AC15,AC
WC1,ST14SB,AC4,AC
WC10,ST14SB,AC12,AC
WC10a,ST14SB,AC12,AC
WC11,ST14SB,AC4,AC
WC2,ST14SB,AC4,AC
WC2a,ST14SB,AC4,AC
WC3,ST14SB,AC4,AC
WC4,ST14SB,AC4,AC
WC5,ST14SB,AC8,AC
WC6,ST14SB,AC8,AC
WC7,ST14SB,AC8,AC
WC7a,ST14SB,AC8,AC
WC8,ST14SB,AC8,AC
WC9,ST14SB,AC8,AC
WD2,ST14SB,AC8,AC
WD3,ST14SB,AC12,AC
WD4,ST14SB,AC12,AC
WM1,ST14SB,AC8,AC
WM2,ST14SB,AC12,AC
WM3,ST14SB,AC8,AC
WM3a,ST14SB,AC8,AC
WM4,ST14SB,AC12,AC
CA1,ST14U,AC11,AC
IH7,ST14U,AC11,AC
IH8,ST14U,AC7,AC
MW10,ST14U,AC7,AC
MW11,ST14U,AC7,AC
MW12,ST14U,AC7,AC
MW9,ST14U,AC7,AC
SH1,ST14U,AC11,AC
SH3,ST14U,AC11,AC
SH5,ST14U,AC11,AC
SH5a,ST14U,AC11,AC
SH5b,ST14U,AC11,AC
SH8,ST14U,AC11,AC
SP5,ST14U,AC7,AC
SP6,ST14U,AC7,AC
SP7,ST14U,AC7,AC
CA1,ST14UB,AC11,AC
IH7,ST14UB,AC11,AC
IH8,ST14UB,AC7,AC
MW10,ST14UB,AC7,AC
MW11,ST14UB,AC7,AC
MW12,ST14UB,AC7,AC
MW9,ST14UB,AC7,AC
SH1,ST14UB,AC11,AC
SH3,ST14UB,AC11,AC
SH5,ST14UB,AC11,AC
SH5a,ST14UB,AC11,AC
SH5b,ST14UB,AC11,AC
SH8,ST14UB,AC11,AC
SP5,ST14UB,AC7,AC
SP6,ST14UB,AC7,AC
SP7,ST14UB,AC7,AC
CA1,ST14US,AC11,AC
IH7,ST14US,AC11,AC
IH8,ST14US,AC7,AC
MW10,ST14US,AC7,AC
MW11,ST14US,AC7,AC
MW12,ST14US,AC7,AC
MW9,ST14US,AC7,AC
SH1,ST14US,AC11,AC
SH3,ST14US,AC11,AC
SH5,ST14US,AC11,AC
SH5a,ST14US,AC11,AC
SH5b,ST14US,AC11,AC
SH8,ST14US,AC11,AC
SP5,ST14US,AC7,AC
SP6,ST14US,AC7,AC
SP7,ST14US,AC7,AC
CA1,ST14USB,AC11,AC
IH7,ST14USB,AC11,AC
IH8,ST14USB,AC7,AC
MW10,ST14USB,AC7,AC
MW11,ST14USB,AC7,AC
MW12,ST14USB,AC7,AC
MW9,ST14USB,AC7,AC
SH1,ST14USB,AC11,AC
SH3,ST14USB,AC11,AC
SH5,ST14USB,AC11,AC
SH5a,ST14USB,AC11,AC
SH5b,ST14USB,AC11,AC
SH8,ST14USB,AC11,AC
SP5,ST14USB,AC7,AC
SP6,ST14USB,AC7,AC
SP7,ST14USB,AC7,AC
CA1,ST15,AC9,AC
IH1,ST15,AC5,AC
IH1a,ST15,AC5,AC
IH2,ST15,AC5,AC
IH2a,ST15,AC5,AC
IH7,ST15,AC9,AC
IH8,ST15,AC2,AC
KA1,ST15,AC9,AC
KA2,ST15,AC9,AC
KA3,ST15,AC9,AC
KA4,ST15,AC9,AC
MW1,ST15,AC9,AC
MW10,ST15,AC5,AC
MW11,ST15,AC5,AC
MW12,ST15,AC5,AC
MW2,ST15,AC9,AC
MW2a,ST15,AC9,AC
MW3,ST15,AC9,AC
MW4,ST15,AC9,AC
MW4a,ST15,AC9,AC
MW5,ST15,AC9,AC
MW6,ST15,AC9,AC
MW7,ST15,AC9,AC
MW8,ST15,AC9,AC
MW9,ST15,AC5,AC
OW1,ST15,AC1,AC
OW2,ST15,AC1,AC
OW3,ST15,AC1,AC
SH1,ST15,AC9,AC
SH2,ST15,AC9,AC
SH3,ST15,AC9,AC
SH4,ST15,AC9,AC
SH5,ST15,AC9,AC
SH5a,ST15,AC9,AC
SH5b,ST15,AC9,AC
SH6,ST15,AC9,AC
SH7,ST15,AC9,AC
SH8,ST15,AC9,AC
SP1,ST15,AC5,AC
SP10,ST15,AC5,AC
SP1a,ST15,AC5,AC
SP2,ST15,AC5,AC
SP2a,ST15,AC5,AC
SP3,ST15,AC5,AC
SP4,ST15,AC5,AC
SP4a,ST15,AC5,AC
SP4b,ST15,AC5,AC
SP5,ST15,AC5,AC
SP6,ST15,AC5,AC
SP7,ST15,AC5,AC
SP8,ST15,AC5,AC
TH1,ST15,AC9,AC
TH1a,ST15,AC9,AC
TH2,ST15,AC9,AC
TH2a,ST15,AC9,AC
TH3,ST15,AC9,AC
TH5,ST15,AC9,AC
TH6,ST15,AC9,AC
TH7,ST15,AC9,AC
TH8,ST15,AC9,AC
TH8a,ST15,AC9,AC
TH9,ST15,AC9,AC
CA1,ST15B,AC9,AC
IH1,ST15B,AC5,AC
IH1a,ST15B,AC5,AC
IH2,ST15B,AC5,AC
IH2a,ST15B,AC5,AC
IH7,ST15B,AC9,AC
IH8,ST15B,AC2,AC
KA1,ST15B,AC9,AC
KA2,ST15B,AC9,AC
KA3,ST15B,AC9,AC
KA4,ST15B,AC9,AC
MW1,ST15B,AC9,AC
MW10,ST15B,AC5,AC
MW11,ST15B,AC5,AC
MW12,ST15B,AC5,AC
MW2,ST15B,AC9,AC
MW2a,ST15B,AC9,AC
MW3,ST15B,AC9,AC
MW4,ST15B,AC9,AC
MW4a,ST15B,AC9,AC
MW5,ST15B,AC9,AC
MW6,ST15B,AC9,AC
MW7,ST15B,AC9,AC
MW8,ST15B,AC9,AC
MW9,ST15B,AC5,AC
OW1,ST15B,AC1,AC
OW2,ST15B,AC1,AC
OW3,ST15B,AC1,AC
SH4,ST15B,AC9,AC
SH5,ST15B,AC9,AC
SH5a,ST15B,AC9,AC
SH5b,ST15B,AC9,AC
SH6,ST15B,AC9,AC
SH7,ST15B,AC9,AC
SH8,ST15B,AC9,AC
SP1,ST15B,AC5,AC
SP10,ST15B,AC5,AC
SP1a,ST15B,AC5,AC
SP2,ST15B,AC5,AC
SP2a,ST15B,AC5,AC
SP3,ST15B,AC5,AC
SP4,ST15B,AC5,AC
SP4a,ST15B,AC5,AC
SP4b,ST15B,AC5,AC
SP5,ST15B,AC5,AC
SP6,ST15B,AC5,AC
SP7,ST15B,AC5,AC
SP8,ST15B,AC5,AC
TH1,ST15B,AC9,AC
TH1a,ST15B,AC9,AC
TH2,ST15B,AC9,AC
TH2a,ST15B,AC9,AC
TH3,ST15B,AC9,AC
TH5,ST15B,AC9,AC
TH6,ST15B,AC9,AC
TH7,ST15B,AC9,AC
TH8,ST15B,AC9,AC
TH8a,ST15B,AC9,AC
TH9,ST15B,AC9,AC
CA1,ST15C,AC9,AC
IH1,ST15C,AC5,AC
IH1a,ST15C,AC5,AC
IH2,ST15C,AC5,AC
IH2a,ST15C,AC5,AC
IH8,ST15C,AC1,AC
MW10,ST15C,AC5,AC
MW11,ST15C,AC5,AC
MW12,ST15C,AC5,AC
MW9,ST15C,AC5,AC
OW1,ST15C,AC1,AC
OW2,ST15C,AC1,AC
OW3,ST15C,AC1,AC
SH4,ST15C,AC9,AC
SH5,ST15C,AC9,AC
SH5b,ST15C,AC9,AC
SH6,ST15C,AC9,AC
SP1,ST15C,AC5,AC
SP1a,ST15C,AC5,AC
SP2,ST15C,AC5,AC
SP2a,ST15C,AC5,AC
SP3,ST15C,AC5,AC
SP4,ST15C,AC5,AC
SP4a,ST15C,AC5,AC
SP4b,ST15C,AC5,AC
SP5,ST15C,AC5,AC
SP6,ST15C,AC5,AC
SP7,ST15C,AC5,AC
CA1,ST15CB,AC9,AC
IH1,ST15CB,AC5,AC
IH1a,ST15CB,AC5,AC
IH2,ST15CB,AC5,AC
IH2a,ST15CB,AC5,AC
IH8,ST15CB,AC1,AC
MW10,ST15CB,AC5,AC
MW11,ST15CB,AC5,AC
MW12,ST15CB,AC5,AC
MW9,ST15CB,AC5,AC
OW1,ST15CB,AC1,AC
OW2,ST15CB,AC1,AC
OW3,ST15CB,AC1,AC
SH4,ST15CB,AC9,AC
SH5,ST15CB,AC9,AC
SH5b,ST15CB,AC9,AC
SH6,ST15CB,AC9,AC
SP1,ST15CB,AC5,AC
SP1a,ST15CB,AC5,AC
SP2,ST15CB,AC5,AC
SP2a,ST15CB,AC5,AC
SP3,ST15CB,AC5,AC
SP4,ST15CB,AC5,AC
SP4a,ST15CB,AC5,AC
SP4b,ST15CB,AC5,AC
SP5,ST15CB,AC5,AC
SP6,ST15CB,AC5,AC
SP7,ST15CB,AC5,AC
CA1,ST15CS,AC9,AC
IH1,ST15CS,AC5,AC
IH1a,ST15CS,AC5,AC
IH2,ST15CS,AC5,AC
IH2a,ST15CS,AC5,AC
IH8,ST15CS,AC1,AC
MW10,ST15CS,AC5,AC
MW11,ST15CS,AC5,AC
MW12,ST15CS,AC5,AC
MW9,ST15CS,AC5,AC
OW1,ST15CS,AC1,AC
OW2,ST15CS,AC1,AC
OW3,ST15CS,AC1,AC
SH4,ST15CS,AC9,AC
SH5,ST15CS,AC9,AC
SH5b,ST15CS,AC9,AC
SH6,ST15CS,AC9,AC
SP1,ST15CS,AC5,AC
SP1a,ST15CS,AC5,AC
SP2,ST15CS,AC5,AC
SP2a,ST15CS,AC5,AC
SP3,ST15CS,AC5,AC
SP4,ST15CS,AC5,AC
SP4a,ST15CS,AC5,AC
SP4b,ST15CS,AC5,AC
SP5,ST15CS,AC5,AC
SP6,ST15CS,AC5,AC
SP7,ST15CS,AC5,AC
CA1,ST15CSB,AC9,AC
IH1,ST15CSB,AC5,AC
IH1a,ST15CSB,AC5,AC
IH2,ST15CSB,AC5,AC
IH2a,ST15CSB,AC5,AC
IH8,ST15CSB,AC1,AC
MW10,ST15CSB,AC5,AC
MW11,ST15CSB,AC5,AC
MW12,ST15CSB,AC5,AC
MW9,ST15CSB,AC5,AC
OW1,ST15CSB,AC1,AC
OW2,ST15CSB,AC1,AC
OW3,ST15CSB,AC1,AC
SH4,ST15CSB,AC9,AC
SH5,ST15CSB,AC9,AC
SH5b,ST15CSB,AC9,AC
SH6,ST15CSB,AC9,AC
SP1,ST15CSB,AC5,AC
SP1a,ST15CSB,AC5,AC
SP2,ST15CSB,AC5,AC
SP2a,ST15CSB,AC5,AC
SP3,ST15CSB,AC5,AC
SP4,ST15CSB,AC5,AC
SP4a,ST15CSB,AC5,AC
SP4b,ST15CSB,AC5,AC
SP5,ST15CSB,AC5,AC
SP6,ST15CSB,AC5,AC
SP7,ST15CSB,AC5,AC
CA1,ST15L,AC9,AC
IH1,ST15L,AC5,AC
IH1a,ST15L,AC5,AC
IH2,ST15L,AC5,AC
IH2a,ST15L,AC5,AC
IH7,ST15L,AC9,AC
IH8,ST15L,AC5,AC
KA1,ST15L,AC9,AC
KA2,ST15L,AC9,AC
KA3,ST15L,AC9,AC
KA4,ST15L,AC9,AC
MW1,ST15L,AC9,AC
MW10,ST15L,AC5,AC
MW11,ST15L,AC5,AC
MW12,ST15L,AC5,AC
MW2,ST15L,AC9,AC
MW2a,ST15L,AC9,AC
MW3,ST15L,AC9,AC
MW4,ST15L,AC9,AC
MW4a,ST15L,AC9,AC
MW5,ST15L,AC9,AC
MW6,ST15L,AC9,AC
MW7,ST15L,AC9,AC
MW8,ST15L,AC9,AC
MW9,ST15L,AC5,AC
OW1,ST15L,AC1,AC
OW2,ST15L,AC1,AC
OW3,ST15L,AC1,AC
SH1,ST15L,AC9,AC
SH2,ST15L,AC9,AC
SH3,ST15L,AC9,AC
SH4,ST15L,AC9,AC
SH5,ST15L,AC9,AC
SH5a,ST15L,AC9,AC
SH5b,ST15L,AC9,AC
SH6,ST15L,AC9,AC
SH7,ST15L,AC9,AC
SH8,ST15L,AC9,AC
SP1,ST15L,AC5,AC
SP10,ST15L,AC5,AC
SP1a,ST15L,AC5,AC
SP2,ST15L,AC5,AC
SP2a,ST15L,AC5,AC
SP3,ST15L,AC5,AC
SP4,ST15L,AC5,AC
SP4a,ST15L,AC5,AC
SP4b,ST15L,AC5,AC
SP5,ST15L,AC5,AC
SP6,ST15L,AC5,AC
SP7,ST15L,AC5,AC
SP8,ST15L,AC5,AC
TH1,ST15L,AC9,AC
TH1a,ST15L,AC9,AC
TH2,ST15L,AC9,AC
TH2a,ST15L,AC9,AC
TH3,ST15L,AC9,AC
TH5,ST15L,AC9,AC
TH6,ST15L,AC9,AC
TH7,ST15L,AC9,AC
TH8,ST15L,AC9,AC
TH8a,ST15L,AC9,AC
TH9,ST15L,AC9,AC
CA1,ST15LB,AC9,AC
IH1,ST15LB,AC5,AC
IH1a,ST15LB,AC5,AC
IH2,ST15LB,AC5,AC
IH2a,ST15LB,AC5,AC
IH7,ST15LB,AC9,AC
IH8,ST15LB,AC5,AC
KA1,ST15LB,AC9,AC
KA2,ST15LB,AC9,AC
KA3,ST15LB,AC9,AC
KA4,ST15LB,AC9,AC
MW1,ST15LB,AC9,AC
MW10,ST15LB,AC5,AC
MW11,ST15LB,AC5,AC
MW12,ST15LB,AC5,AC
MW2,ST15LB,AC9,AC
MW2a,ST15LB,AC9,AC
MW3,ST15LB,AC9,AC
MW4,ST15LB,AC9,AC
MW4a,ST15LB,AC9,AC
MW5,ST15LB,AC9,AC
MW6,ST15LB,AC9,AC
MW7,ST15LB,AC9,AC
MW8,ST15LB,AC9,AC
MW9,ST15LB,AC5,AC
OW1,ST15LB,AC1,AC
OW2,ST15LB,AC1,AC
OW3,ST15LB,AC1,AC
SH1,ST15LB,AC9,AC
SH2,ST15LB,AC9,AC
SH3,ST15LB,AC9,AC
SH4,ST15LB,AC9,AC
SH5,ST15LB,AC9,AC
SH5a,ST15LB,AC9,AC
SH5b,ST15LB,AC9,AC
SH6,ST15LB,AC9,AC
SH7,ST15LB,AC9,AC
SH8,ST15LB,AC9,AC
SP1,ST15LB,AC5,AC
SP10,ST15LB,AC5,AC
SP1a,ST15LB,AC5,AC
SP2,ST15LB,AC5,AC
SP2a,ST15LB,AC5,AC
SP3,ST15LB,AC5,AC
SP4,ST15LB,AC5,AC
SP4a,ST15LB,AC5,AC
SP4b,ST15LB,AC5,AC
SP5,ST15LB,AC5,AC
SP6,ST15LB,AC5,AC
SP7,ST15LB,AC5,AC
SP8,ST15LB,AC5,AC
TH1,ST15LB,AC9,AC
TH1a,ST15LB,AC9,AC
TH2,ST15LB,AC9,AC
TH2a,ST15LB,AC9,AC
TH3,ST15LB,AC9,AC
TH5,ST15LB,AC9,AC
TH6,ST15LB,AC9,AC
TH7,ST15LB,AC9,AC
TH8,ST15LB,AC9,AC
TH8a,ST15LB,AC9,AC
TH9,ST15LB,AC9,AC
CA1,ST15LS,AC9,AC
IH1,ST15LS,AC5,AC
IH1a,ST15LS,AC5,AC
IH2,ST15LS,AC5,AC
IH2a,ST15LS,AC5,AC
IH7,ST15LS,AC9,AC
IH8,ST15LS,AC5,AC
KA1,ST15LS,AC9,AC
KA2,ST15LS,AC9,AC
KA3,ST15LS,AC9,AC
KA4,ST15LS,AC9,AC
MW1,ST15LS,AC9,AC
MW10,ST15LS,AC5,AC
MW11,ST15LS,AC5,AC
MW12,ST15LS,AC5,AC
